Local time,Open,High,Low,Close,Volume
08.11.2016 09:00:00.000 GMT+0100,1.10553,1.10669,1.10413,1.10428,44639808593.75
08.11.2016 13:00:00.000 GMT+0100,1.10428,1.10543,1.10357,1.10465,52948269531.25
08.11.2016 17:00:00.000 GMT+0100,1.10464,1.10514,1.10088,1.10297,48685331054.6875
08.11.2016 21:00:00.000 GMT+0100,1.10297,1.10343,1.10047,1.10177,24465519531.25
09.11.2016 01:00:00.000 GMT+0100,1.10178,1.12318,1.09896,1.12297,90101361328.125
09.11.2016 05:00:00.000 GMT+0100,1.12298,1.12995,1.11067,1.11173,90773820312.5
09.11.2016 09:00:00.000 GMT+0100,1.11179,1.11349,1.10294,1.10906,73940210937.5
09.11.2016 13:00:00.000 GMT+0100,1.10908,1.10915,1.09306,1.09483,87093259765.625
09.11.2016 17:00:00.000 GMT+0100,1.09483,1.09578,1.09199,1.09321,64027180664.0625
09.11.2016 21:00:00.000 GMT+0100,1.09325,1.09416,1.09070,1.09196,26692329589.8438
10.11.2016 01:00:00.000 GMT+0100,1.09193,1.09537,1.09138,1.09370,34267130371.0938
10.11.2016 05:00:00.000 GMT+0100,1.09370,1.09475,1.09222,1.09291,35316089843.7501
10.11.2016 09:00:00.000 GMT+0100,1.09293,1.09467,1.08873,1.08982,68736240234.375
10.11.2016 13:00:00.000 GMT+0100,1.08984,1.09105,1.08649,1.08787,88328779296.875
10.11.2016 17:00:00.000 GMT+0100,1.08789,1.09037,1.08675,1.08908,67209529296.875
10.11.2016 21:00:00.000 GMT+0100,1.08907,1.08961,1.08804,1.08873,19360469726.5625
11.11.2016 01:00:00.000 GMT+0100,1.08873,1.09234,1.08755,1.09030,33969110351.5625
11.11.2016 05:00:00.000 GMT+0100,1.09031,1.09195,1.09014,1.09061,30221200195.3125
